x_center,y_center,theta_radians_center,theta_degrees_center,x,y,theta_radians,theta_degrees
66.39363439,108.4746976,0.1798535,10.30484647,66.08058488,110.19647,0.1798535,10.30484647
67.3775043,108.6535831,0.1798535,10.30484647,67.06445479,110.3753554,0.1798535,10.30484647
68.36137421,108.8324685,0.1798535,10.30484647,68.0483247,110.5542409,0.1798535,10.30484647
69.34524412,109.0113539,0.1798535,10.30484647,69.03219461,110.7331263,0.1798535,10.30484647
70.32911403,109.1902394,0.1798535,10.30484647,70.01606452,110.9120117,0.1798535,10.30484647
71.31298394,109.3691248,0.1798535,10.30484647,70.99993443,111.0908972,0.1798535,10.30484647
72.29685385,109.5480103,0.1798535,10.30484647,71.98380434,111.2697826,0.1798535,10.30484647
73.28072376,109.7268957,0.1798535,10.30484647,72.96767425,111.448668,0.1798535,10.30484647
74.26459367,109.9057811,0.1798535,10.30484647,73.95154416,111.6275535,0.1798535,10.30484647
75.24846358,110.0846666,0.1798535,10.30484647,74.93541407,111.8064389,0.1798535,10.30484647
76.23233349,110.263552,0.1798535,10.30484647,75.91928398,111.9853244,0.1798535,10.30484647
77.2162034,110.4424375,0.1798535,10.30484647,76.90315389,112.1642098,0.1798535,10.30484647
78.20007331,110.6213229,0.1798535,10.30484647,77.8870238,112.3430952,0.1798535,10.30484647
79.18394322,110.8002083,0.1798535,10.30484647,78.87089371,112.5219807,0.1798535,10.30484647
80.16781313,110.9790938,0.1798535,10.30484647,79.85476362,112.7008661,0.1798535,10.30484647
81.15168304,111.1579792,0.1798535,10.30484647,80.83863353,112.8797516,0.1798535,10.30484647
82.13555295,111.3368646,0.1798535,10.30484647,81.82250344,113.058637,0.1798535,10.30484647
83.11942286,111.5157501,0.1798535,10.30484647,82.80637335,113.2375224,0.1798535,10.30484647
84.10329277,111.6946355,0.1798535,10.30484647,83.79024326,113.4164079,0.1798535,10.30484647
85.08716268,111.873521,0.1798535,10.30484647,84.77411317,113.5952933,0.1798535,10.30484647
86.07103259,112.0524064,0.1798535,10.30484647,85.75798308,113.7741787,0.1798535,10.30484647
87.0549025,112.2312918,0.1798535,10.30484647,86.74185299,113.9530642,0.1798535,10.30484647
88.03877241,112.4101773,0.1798535,10.30484647,87.7257229,114.1319496,0.1798535,10.30484647
89.02264232,112.5890627,0.1798535,10.30484647,88.70959281,114.3108351,0.1798535,10.30484647
90.00651223,112.7679482,0.1798535,10.30484647,89.69346272,114.4897205,0.1798535,10.30484647
90.99038215,112.9468336,0.1798535,10.30484647,90.67733263,114.6686059,0.1798535,10.30484647
91.97425206,113.125719,0.1798535,10.30484647,91.66120254,114.8474914,0.1798535,10.30484647
92.95812197,113.3046045,0.1798535,10.30484647,92.64507245,115.0263768,0.1798535,10.30484647
93.94199188,113.4834899,0.1798535,10.30484647,93.62894236,115.2052622,0.1798535,10.30484647
94.92586179,113.6623753,0.1798535,10.30484647,94.61281227,115.3841477,0.1798535,10.30484647
95.9097317,113.8412608,0.1798535,10.30484647,95.59668218,115.5630331,0.1798535,10.30484647
96.89360161,114.0201462,0.1798535,10.30484647,96.58055209,115.7419186,0.1798535,10.30484647
97.87747152,114.1990317,0.1798535,10.30484647,97.564422,115.920804,0.1798535,10.30484647
98.86134143,114.3779171,0.1798535,10.30484647,98.54829191,116.0996894,0.1798535,10.30484647
99.84521134,114.5568025,0.1798535,10.30484647,99.53216182,116.2785749,0.1798535,10.30484647
100.8290812,114.735688,0.1798535,10.30484647,100.5160317,116.4574603,0.1798535,10.30484647
101.8129512,114.9145734,0.1798535,10.30484647,101.4999016,116.6363458,0.1798535,10.30484647
102.7968211,115.0934588,0.1798535,10.30484647,102.4837715,116.8152312,0.1798535,10.30484647
103.780691,115.2723443,0.1798535,10.30484647,103.4676415,116.9941166,0.1798535,10.30484647
104.7645609,115.4512297,0.1798535,10.30484647,104.4515114,117.1730021,0.1798535,10.30484647
105.7484308,115.6301152,0.1798535,10.30484647,105.4353813,117.3518875,0.1798535,10.30484647
106.7323007,115.8090006,0.1798535,10.30484647,106.4192512,117.5307729,0.1798535,10.30484647
107.7161706,115.987886,0.1798535,10.30484647,107.4031211,117.7096584,0.1798535,10.30484647
108.7000405,116.1667715,0.1798535,10.30484647,108.386991,117.8885438,0.1798535,10.30484647
109.6839104,116.3456569,0.1798535,10.30484647,109.3708609,118.0674293,0.1798535,10.30484647
110.6677803,116.5245424,0.1798535,10.30484647,110.3547308,118.2463147,0.1798535,10.30484647
111.6516503,116.7034278,0.1798535,10.30484647,111.3386007,118.4252001,0.1798535,10.30484647
112.6355202,116.8823132,0.1798535,10.30484647,112.3224707,118.6040856,0.1798535,10.30484647
113.6193901,117.0611987,0.1798535,10.30484647,113.3063406,118.782971,0.1798535,10.30484647
114.60326,117.2400841,0.1798535,10.30484647,114.2902105,118.9618564,0.1798535,10.30484647
115.5871299,117.4189695,0.1798535,10.30484647,115.2740804,119.1407419,0.1798535,10.30484647
116.5709998,117.597855,0.1798535,10.30484647,116.2579503,119.3196273,0.1798535,10.30484647
117.5548697,117.7767404,0.1798535,10.30484647,117.2418202,119.4985128,0.1798535,10.30484647
118.5387396,117.9556259,0.1798535,10.30484647,118.2256901,119.6773982,0.1798535,10.30484647
119.5226095,118.1345113,0.1798535,10.30484647,119.20956,119.8562836,0.1798535,10.30484647
120.3130495,118.2782277,0.1798535,10.30484647,120,120,0.1798535,10.30484647
