x_center,y_center,theta_radians_center,theta_degrees_center,v_center,x_global,y_global,theta_radians_global,theta_degrees_global,v_global
8.812113069818,101.285077679015,0.746117069464104,42.7493591029625,0,10,100,0.746117069464104,42.7493591029625,5
9.54644317211233,101.963870210548,0.746117069464104,42.7493591029625,0,10.7343301022943,100.678792531533,0.746117069464104,42.7493591029625,5
10.2807732744067,102.64266274208,0.746117069464104,42.7493591029625,0,11.4686602045887,101.357585063065,0.746117069464104,42.7493591029625,5
11.015103376701,103.321455273613,0.746117069464104,42.7493591029625,0,12.202990306883,102.036377594598,0.746117069464104,42.7493591029625,5
11.7494334789953,104.000247805145,0.746117069464104,42.7493591029625,0,12.9373204091773,102.71517012613,0.746117069464104,42.7493591029625,5
12.4837635812896,104.679040336678,0.746117069464104,42.7493591029625,0,13.6716505114716,103.393962657663,0.746117069464104,42.7493591029625,5
13.218093683584,105.357832868211,0.746117069464104,42.7493591029625,0,14.405980613766,104.072755189195,0.746117069464104,42.7493591029625,5
13.9524237858783,106.036625399743,0.746117069464104,42.7493591029625,0,15.1403107160603,104.751547720728,0.746117069464104,42.7493591029625,5
14.6867538881726,106.715417931276,0.746117069464104,42.7493591029625,0,15.8746408183546,105.430340252261,0.746117069464104,42.7493591029625,5
15.421083990467,107.394210462808,0.746117069464104,42.7493591029625,0,16.608970920649,106.109132783793,0.746117069464104,42.7493591029625,5
16.1554140927613,108.073002994341,0.746117069464104,42.7493591029625,0,17.3433010229433,106.787925315326,0.746117069464104,42.7493591029625,5
16.8897441950556,108.751795525873,0.746117069464104,42.7493591029625,0,18.0776311252376,107.466717846858,0.746117069464104,42.7493591029625,5
17.62407429735,109.430588057406,0.746117069464104,42.7493591029625,0,18.811961227532,108.145510378391,0.746117069464104,42.7493591029625,5
18.3584043996443,110.109380588939,0.746117069464104,42.7493591029625,0,19.5462913298263,108.824302909923,0.746117069464104,42.7493591029625,5
19.0927345019386,110.788173120471,0.746117069464104,42.7493591029625,0,20.2806214321206,109.503095441456,0.746117069464104,42.7493591029625,5
19.8270646042329,111.466965652004,0.746117069464104,42.7493591029625,0,21.0149515344149,110.181887972989,0.746117069464104,42.7493591029625,5
20.5613947065273,112.145758183536,0.746117069464104,42.7493591029625,0,21.7492816367093,110.860680504521,0.746117069464104,42.7493591029625,5
21.2957248088216,112.824550715069,0.746117069464104,42.7493591029625,0,22.4836117390036,111.539473036054,0.746117069464104,42.7493591029625,5
22.0300549111159,113.503343246601,0.746117069464104,42.7493591029625,0,23.2179418412979,112.218265567586,0.746117069464104,42.7493591029625,5
22.7643850134103,114.182135778134,0.746117069464104,42.7493591029625,0,23.9522719435923,112.897058099119,0.746117069464104,42.7493591029625,5
23.4987151157046,114.860928309667,0.746117069464104,42.7493591029625,0,24.6866020458866,113.575850630651,0.746117069464104,42.7493591029625,5
24.2330452179989,115.539720841199,0.746117069464104,42.7493591029625,0,25.4209321481809,114.254643162184,0.746117069464104,42.7493591029625,5
24.9673753202932,116.218513372732,0.746117069464104,42.7493591029625,0,26.1552622504752,114.933435693717,0.746117069464104,42.7493591029625,5
25.7017054225876,116.897305904264,0.746117069464104,42.7493591029625,0,26.8895923527696,115.612228225249,0.746117069464104,42.7493591029625,5
26.4360355248819,117.576098435797,0.746117069464104,42.7493591029625,0,27.6239224550639,116.291020756782,0.746117069464104,42.7493591029625,5
27.1703656271762,118.254890967329,0.746117069464104,42.7493591029625,0,28.3582525573582,116.969813288314,0.746117069464104,42.7493591029625,5
27.9046957294706,118.933683498862,0.746117069464104,42.7493591029625,0,29.0925826596526,117.648605819847,0.746117069464104,42.7493591029625,5
28.6390258317649,119.612476030395,0.746117069464104,42.7493591029625,0,29.8269127619469,118.327398351379,0.746117069464104,42.7493591029625,5
29.3733559340592,120.291268561927,0.746117069464104,42.7493591029625,0,30.5612428642412,119.006190882912,0.746117069464104,42.7493591029625,5
30.1076860363535,120.97006109346,0.746117069464104,42.7493591029625,0,31.2955729665356,119.684983414445,0.746117069464104,42.7493591029625,5
30.8420161386479,121.648853624992,0.746117069464104,42.7493591029625,0,32.0299030688299,120.363775945977,0.746117069464104,42.7493591029625,5
31.5763462409422,122.327646156525,0.746117069464104,42.7493591029625,0,32.7642331711242,121.04256847751,0.746117069464104,42.7493591029625,5
32.3106763432365,123.006438688057,0.746117069464104,42.7493591029625,0,33.4985632734185,121.721361009042,0.746117069464104,42.7493591029625,5
33.0450064455309,123.68523121959,0.746117069464104,42.7493591029625,0,34.2328933757129,122.400153540575,0.746117069464104,42.7493591029625,5
33.7793365478252,124.364023751123,0.746117069464104,42.7493591029625,0,34.9672234780072,123.078946072108,0.746117069464104,42.7493591029625,5
34.5136666501195,125.042816282655,0.746117069464104,42.7493591029625,0,35.7015535803015,123.75773860364,0.746117069464104,42.7493591029625,5
35.2479967524139,125.721608814188,0.746117069464104,42.7493591029625,0,36.4358836825959,124.436531135173,0.746117069464104,42.7493591029625,5
35.9823268547082,126.40040134572,0.746117069464104,42.7493591029625,0,37.1702137848902,125.115323666705,0.746117069464104,42.7493591029625,5
36.7166569570025,127.079193877253,0.746117069464104,42.7493591029625,0,37.9045438871845,125.794116198238,0.746117069464104,42.7493591029625,5
37.4509870592968,127.757986408785,0.746117069464104,42.7493591029625,0,38.6388739894788,126.47290872977,0.746117069464104,42.7493591029625,5
38.1853171615912,128.436778940318,0.746117069464104,42.7493591029625,0,39.3732040917732,127.151701261303,0.746117069464104,42.7493591029625,5
